rule_id,rule_name,threshold,active
162,Rule_162,671,0
163,Rule_163,534,0
164,Rule_164,313,0
165,Rule_165,757,1
166,Rule_166,666,1
167,Rule_167,532,0
168,Rule_168,328,1
169,Rule_169,664,1
170,Rule_170,162,0
171,Rule_171,946,1
172,Rule_172,339,1
173,Rule_173,467,0
174,Rule_174,188,1
175,Rule_175,525,0
176,Rule_176,981,1
177,Rule_177,143,0
178,Rule_178,763,0
179,Rule_179,181,1
180,Rule_180,493,0
181,Rule_181,516,0
182,Rule_182,41,1
183,Rule_183,641,0
184,Rule_184,780,0
185,Rule_185,306,1
186,Rule_186,85,0
187,Rule_187,381,0
188,Rule_188,596,0
189,Rule_189,232,0
190,Rule_190,405,0
191,Rule_191,299,1
192,Rule_192,241,1
193,Rule_193,75,0
194,Rule_194,532,0
195,Rule_195,345,0
196,Rule_196,200,0
197,Rule_197,154,1
198,Rule_198,528,1
199,Rule_199,822,1
200,Rule_200,65,0
201,Rule_201,601,1
202,Rule_202,735,0
203,Rule_203,766,1
204,Rule_204,682,1
205,Rule_205,799,0
206,Rule_206,556,0
207,Rule_207,79,1
208,Rule_208,880,0
209,Rule_209,788,0
210,Rule_210,998,1
211,Rule_211,889,0
212,Rule_212,758,0
213,Rule_213,465,1
214,Rule_214,804,0
215,Rule_215,214,1
216,Rule_216,45,0
217,Rule_217,970,0
218,Rule_218,136,0
219,Rule_219,45,0
220,Rule_220,342,1
221,Rule_221,196,0
222,Rule_222,470,1
223,Rule_223,740,1
224,Rule_224,82,0
225,Rule_225,134,0
226,Rule_226,198,0
227,Rule_227,317,1
228,Rule_228,345,1
229,Rule_229,858,0
230,Rule_230,212,1
231,Rule_231,778,0
232,Rule_232,479,0
233,Rule_233,862,0
234,Rule_234,359,1
235,Rule_235,846,0
236,Rule_236,597,1
237,Rule_237,694,0
238,Rule_238,625,1
239,Rule_239,587,1
240,Rule_240,453,0
241,Rule_241,80,1
242,Rule_242,118,0
243,Rule_243,767,0
244,Rule_244,391,1
245,Rule_245,304,1
246,Rule_246,49,1
247,Rule_247,692,1
248,Rule_248,460,1
249,Rule_249,879,0
250,Rule_250,224,0
251,Rule_251,944,0
252,Rule_252,807,0
253,Rule_253,971,1
254,Rule_254,150,0
255,Rule_255,974,1
256,Rule_256,48,0
257,Rule_257,631,0
258,Rule_258,212,0
259,Rule_259,283,1
260,Rule_260,473,1
261,Rule_261,207,1
262,Rule_262,722,1
263,Rule_263,163,0
264,Rule_264,662,1
265,Rule_265,118,1
266,Rule_266,587,1
267,Rule_267,511,1
268,Rule_268,769,0
269,Rule_269,397,0
270,Rule_270,516,0
271,Rule_271,861,0
272,Rule_272,915,1
273,Rule_273,436,1
274,Rule_274,405,0
275,Rule_275,994,1
276,Rule_276,307,1
277,Rule_277,519,0
278,Rule_278,479,1
279,Rule_279,403,1
280,Rule_280,799,1
281,Rule_281,217,1
282,Rule_282,135,1
283,Rule_283,551,1
284,Rule_284,696,1
285,Rule_285,638,1
286,Rule_286,598,1
287,Rule_287,219,0
288,Rule_288,991,1
289,Rule_289,612,0
290,Rule_290,647,1
291,Rule_291,887,1
292,Rule_292,983,0
293,Rule_293,294,0
294,Rule_294,665,1
295,Rule_295,417,0
296,Rule_296,673,0
297,Rule_297,574,1
298,Rule_298,143,0
299,Rule_299,952,0
300,Rule_300,258,1
301,Rule_301,717,1
302,Rule_302,994,1
303,Rule_303,568,0
304,Rule_304,289,0
305,Rule_305,429,1
306,Rule_306,747,0
307,Rule_307,962,1
308,Rule_308,282,0
309,Rule_309,315,1
310,Rule_310,916,1
311,Rule_311,432,0
312,Rule_312,10,1
313,Rule_313,650,0
314,Rule_314,901,1
315,Rule_315,845,1
316,Rule_316,291,0
317,Rule_317,805,1
318,Rule_318,313,0
319,Rule_319,238,1
320,Rule_320,586,1
321,Rule_321,657,1
322,Rule_322,204,0
323,Rule_323,316,1
324,Rule_324,688,0
325,Rule_325,32,0
326,Rule_326,623,0
327,Rule_327,907,0
328,Rule_328,154,1
329,Rule_329,35,0
330,Rule_330,875,1
331,Rule_331,777,0
332,Rule_332,176,1
333,Rule_333,483,0
334,Rule_334,966,1
335,Rule_335,631,0
336,Rule_336,84,0
337,Rule_337,35,1
338,Rule_338,454,0
339,Rule_339,492,1
340,Rule_340,144,0
341,Rule_341,344,0
342,Rule_342,128,0
343,Rule_343,147,0
344,Rule_344,835,1
345,Rule_345,205,0
346,Rule_346,112,0
347,Rule_347,18,0
348,Rule_348,329,0
349,Rule_349,801,1
350,Rule_350,392,0
351,Rule_351,790,0
352,Rule_352,673,0
353,Rule_353,419,1
354,Rule_354,689,0
355,Rule_355,391,0
356,Rule_356,968,1
357,Rule_357,590,1
358,Rule_358,365,0
359,Rule_359,60,0
360,Rule_360,99,1
361,Rule_361,646,1
362,Rule_362,316,0
363,Rule_363,266,1
364,Rule_364,337,0
365,Rule_365,948,0
366,Rule_366,783,0
367,Rule_367,625,0
368,Rule_368,567,0
369,Rule_369,31,0
370,Rule_370,395,0
371,Rule_371,399,1
372,Rule_372,397,0
373,Rule_373,986,1
374,Rule_374,910,0
375,Rule_375,921,0
376,Rule_376,463,1
377,Rule_377,903,1
378,Rule_378,770,0
379,Rule_379,758,1
380,Rule_380,913,1
381,Rule_381,995,1
382,Rule_382,53,0
383,Rule_383,784,0
384,Rule_384,275,0
385,Rule_385,300,0
386,Rule_386,411,0
387,Rule_387,738,0
388,Rule_388,671,0
389,Rule_389,379,1
390,Rule_390,347,0
391,Rule_391,587,0
392,Rule_392,670,1
393,Rule_393,320,1
394,Rule_394,174,1
395,Rule_395,407,1
396,Rule_396,50,0
397,Rule_397,765,0
398,Rule_398,124,1
399,Rule_399,355,0
400,Rule_400,454,1
401,Rule_401,435,1
402,Rule_402,255,0
403,Rule_403,490,0
404,Rule_404,550,0
405,Rule_405,302,1
406,Rule_406,398,0
407,Rule_407,416,1
408,Rule_408,971,1
409,Rule_409,744,0
410,Rule_410,275,0
411,Rule_411,140,1
412,Rule_412,237,0
413,Rule_413,668,0
414,Rule_414,602,1
415,Rule_415,668,1
416,Rule_416,781,0
417,Rule_417,988,0
418,Rule_418,437,0
419,Rule_419,663,1
420,Rule_420,446,0
421,Rule_421,113,0
422,Rule_422,458,0
423,Rule_423,41,0
424,Rule_424,919,1
425,Rule_425,602,0
426,Rule_426,814,0
427,Rule_427,352,1
428,Rule_428,977,0
429,Rule_429,893,0
430,Rule_430,535,0
431,Rule_431,906,0
432,Rule_432,309,0
433,Rule_433,56,1
434,Rule_434,62,1
435,Rule_435,128,1
436,Rule_436,660,0
437,Rule_437,479,1
438,Rule_438,385,1
439,Rule_439,263,1
440,Rule_440,605,0
441,Rule_441,826,0
442,Rule_442,846,1
443,Rule_443,112,0
444,Rule_444,832,1
445,Rule_445,920,1
446,Rule_446,64,0
447,Rule_447,583,1
448,Rule_448,400,0
449,Rule_449,76,0
450,Rule_450,555,1
451,Rule_451,866,1
452,Rule_452,12,0
453,Rule_453,61,1
454,Rule_454,577,1
455,Rule_455,344,1
456,Rule_456,70,1
457,Rule_457,879,0
458,Rule_458,796,0
459,Rule_459,162,0
460,Rule_460,560,0
461,Rule_461,145,0
462,Rule_462,877,0
463,Rule_463,148,1
464,Rule_464,723,0
465,Rule_465,564,0
466,Rule_466,277,0
467,Rule_467,522,1
468,Rule_468,162,0
469,Rule_469,696,1
470,Rule_470,96,0
471,Rule_471,917,0
472,Rule_472,45,1
473,Rule_473,184,0
474,Rule_474,982,0
475,Rule_475,549,1
476,Rule_476,295,0
477,Rule_477,743,0
478,Rule_478,433,0
479,Rule_479,598,0
480,Rule_480,919,0
481,Rule_481,595,1
482,Rule_482,268,0
483,Rule_483,761,0
484,Rule_484,962,1
485,Rule_485,649,0
486,Rule_486,531,1
487,Rule_487,939,0
488,Rule_488,177,0
489,Rule_489,611,1
490,Rule_490,525,1
491,Rule_491,529,0
492,Rule_492,690,0
493,Rule_493,334,1
494,Rule_494,970,0
495,Rule_495,988,0
496,Rule_496,174,0
497,Rule_497,82,1
498,Rule_498,775,0
499,Rule_499,619,0
500,Rule_500,149,1
501,Rule_501,812,0
502,Rule_502,424,1
503,Rule_503,478,0
504,Rule_504,669,0
505,Rule_505,333,0
506,Rule_506,746,0
507,Rule_507,76,1
508,Rule_508,584,1
509,Rule_509,542,1
510,Rule_510,174,1
511,Rule_511,929,0
512,Rule_512,299,0
513,Rule_513,297,0
514,Rule_514,324,0
515,Rule_515,478,1
516,Rule_516,408,0
517,Rule_517,540,0
518,Rule_518,383,0
519,Rule_519,956,0
520,Rule_520,788,0
521,Rule_521,874,0
522,Rule_522,795,0
523,Rule_523,660,1
524,Rule_524,155,0
525,Rule_525,800,1
526,Rule_526,140,0
527,Rule_527,162,1
528,Rule_528,811,1
529,Rule_529,521,1
530,Rule_530,117,1
531,Rule_531,545,0
532,Rule_532,506,0
533,Rule_533,202,1
534,Rule_534,590,1
535,Rule_535,26,1
536,Rule_536,418,1
537,Rule_537,575,1
538,Rule_538,202,0
539,Rule_539,254,0
540,Rule_540,757,0
541,Rule_541,452,1
542,Rule_542,409,1
543,Rule_543,327,0
544,Rule_544,472,1
545,Rule_545,244,1
546,Rule_546,854,0
547,Rule_547,427,1
548,Rule_548,804,0
549,Rule_549,851,0
550,Rule_550,905,1
551,Rule_551,438,1
552,Rule_552,581,1
553,Rule_553,784,0
554,Rule_554,899,0
555,Rule_555,449,1
556,Rule_556,66,1
557,Rule_557,893,1
558,Rule_558,277,0
559,Rule_559,836,1
560,Rule_560,991,0
561,Rule_561,972,1
562,Rule_562,736,1
563,Rule_563,342,0
564,Rule_564,108,0
565,Rule_565,660,1
566,Rule_566,890,1
567,Rule_567,738,1
568,Rule_568,365,1
569,Rule_569,419,0
570,Rule_570,395,0
571,Rule_571,314,0
572,Rule_572,539,1
573,Rule_573,713,0
574,Rule_574,322,1
575,Rule_575,97,0
576,Rule_576,201,0
577,Rule_577,910,1
578,Rule_578,404,1
579,Rule_579,383,1
580,Rule_580,306,1
581,Rule_581,760,1
582,Rule_582,471,0
583,Rule_583,445,1
584,Rule_584,301,0
585,Rule_585,290,1
586,Rule_586,396,0
587,Rule_587,992,0
588,Rule_588,800,1
589,Rule_589,74,1
590,Rule_590,189,1
591,Rule_591,482,0
592,Rule_592,664,1
593,Rule_593,211,0
594,Rule_594,787,0
595,Rule_595,697,0
596,Rule_596,695,0
597,Rule_597,873,0
598,Rule_598,235,1
599,Rule_599,463,0
600,Rule_600,839,1
601,Rule_601,656,1
602,Rule_602,908,1
603,Rule_603,488,1
604,Rule_604,474,1
605,Rule_605,143,0
606,Rule_606,564,1
607,Rule_607,412,1
608,Rule_608,528,1
609,Rule_609,894,0
610,Rule_610,736,0
611,Rule_611,968,1
612,Rule_612,185,1
613,Rule_613,656,0
614,Rule_614,552,0
615,Rule_615,120,0
616,Rule_616,486,0
617,Rule_617,622,1
618,Rule_618,163,0
619,Rule_619,60,0
620,Rule_620,532,0
621,Rule_621,498,0
622,Rule_622,80,1
623,Rule_623,105,0
624,Rule_624,295,1
625,Rule_625,894,0
626,Rule_626,641,0
627,Rule_627,98,1
628,Rule_628,47,1
629,Rule_629,769,0
630,Rule_630,542,1
631,Rule_631,150,0
632,Rule_632,884,1
633,Rule_633,899,0
634,Rule_634,205,1
635,Rule_635,259,0
636,Rule_636,831,0
637,Rule_637,855,0
638,Rule_638,536,0
639,Rule_639,690,0
640,Rule_640,494,1
641,Rule_641,796,0
642,Rule_642,743,1
643,Rule_643,300,0
644,Rule_644,370,1
645,Rule_645,718,0
646,Rule_646,758,1
647,Rule_647,750,0
648,Rule_648,750,1
649,Rule_649,764,1
650,Rule_650,875,0
651,Rule_651,659,0
652,Rule_652,616,0
653,Rule_653,554,0
654,Rule_654,152,1
655,Rule_655,633,0
656,Rule_656,261,1
657,Rule_657,26,0
658,Rule_658,681,1
659,Rule_659,217,0
660,Rule_660,499,1
661,Rule_661,864,0
662,Rule_662,301,0
663,Rule_663,628,0
664,Rule_664,588,1
665,Rule_665,878,0
666,Rule_666,67,1
667,Rule_667,704,0
668,Rule_668,323,0
669,Rule_669,778,1
670,Rule_670,172,1
671,Rule_671,258,1
672,Rule_672,344,0
673,Rule_673,256,1
674,Rule_674,126,1
675,Rule_675,72,0
676,Rule_676,705,0
677,Rule_677,596,1
678,Rule_678,830,1
679,Rule_679,686,1
680,Rule_680,957,0
681,Rule_681,718,0
682,Rule_682,158,0
683,Rule_683,935,1
684,Rule_684,44,1
685,Rule_685,520,1
686,Rule_686,882,0
687,Rule_687,629,1
688,Rule_688,628,0
689,Rule_689,81,1
690,Rule_690,976,1
691,Rule_691,789,1
692,Rule_692,908,1
693,Rule_693,305,1
694,Rule_694,481,0
695,Rule_695,775,0
696,Rule_696,549,0
697,Rule_697,817,0
698,Rule_698,607,0
699,Rule_699,910,1
700,Rule_700,23,0
701,Rule_701,820,0
702,Rule_702,275,0
703,Rule_703,527,0
704,Rule_704,524,0
705,Rule_705,187,1
706,Rule_706,395,1
707,Rule_707,418,1
708,Rule_708,844,1
709,Rule_709,926,0
710,Rule_710,720,0
711,Rule_711,119,0
712,Rule_712,191,1
713,Rule_713,925,0
714,Rule_714,437,0
715,Rule_715,369,0
716,Rule_716,851,0
717,Rule_717,358,1
718,Rule_718,11,0
719,Rule_719,676,1
720,Rule_720,876,1
721,Rule_721,252,1
722,Rule_722,57,0
723,Rule_723,895,0
724,Rule_724,672,0
725,Rule_725,230,1
726,Rule_726,423,0
727,Rule_727,204,0
728,Rule_728,98,0
729,Rule_729,630,0
730,Rule_730,69,0
731,Rule_731,659,0
732,Rule_732,776,0
733,Rule_733,717,1
734,Rule_734,974,0
735,Rule_735,426,1
736,Rule_736,177,0
737,Rule_737,631,1
738,Rule_738,30,0
739,Rule_739,712,1
740,Rule_740,665,1
741,Rule_741,238,0
742,Rule_742,974,0
743,Rule_743,707,1
744,Rule_744,648,0
745,Rule_745,726,0
746,Rule_746,449,1
747,Rule_747,798,1
748,Rule_748,12,1
749,Rule_749,419,1
750,Rule_750,280,1
751,Rule_751,335,0
752,Rule_752,462,1
753,Rule_753,898,0
754,Rule_754,523,1
755,Rule_755,337,1
756,Rule_756,175,0
757,Rule_757,826,0
758,Rule_758,88,1
759,Rule_759,340,1
760,Rule_760,967,0
761,Rule_761,156,1
762,Rule_762,779,1
763,Rule_763,402,1
764,Rule_764,739,1
765,Rule_765,933,1
766,Rule_766,198,1
767,Rule_767,58,0
768,Rule_768,778,1
769,Rule_769,874,1
770,Rule_770,149,1
771,Rule_771,223,1
772,Rule_772,630,0
773,Rule_773,507,1
774,Rule_774,325,1
775,Rule_775,673,0
776,Rule_776,800,1
777,Rule_777,349,1
778,Rule_778,298,0
779,Rule_779,782,0
780,Rule_780,171,0
781,Rule_781,319,0
782,Rule_782,337,1
783,Rule_783,843,1
784,Rule_784,107,1
785,Rule_785,938,0
786,Rule_786,234,0
787,Rule_787,463,0
788,Rule_788,982,1
789,Rule_789,770,1
790,Rule_790,789,1
791,Rule_791,984,0
792,Rule_792,331,1
793,Rule_793,417,1
794,Rule_794,106,1
795,Rule_795,856,1
796,Rule_796,165,0
797,Rule_797,139,1
798,Rule_798,928,1
799,Rule_799,938,1
800,Rule_800,759,0
801,Rule_801,212,0
802,Rule_802,812,1
803,Rule_803,927,1
804,Rule_804,33,0
805,Rule_805,330,0
806,Rule_806,316,1
807,Rule_807,358,1
808,Rule_808,795,1
809,Rule_809,504,0
810,Rule_810,163,1
811,Rule_811,734,0
812,Rule_812,270,0
813,Rule_813,480,1
814,Rule_814,29,0
815,Rule_815,53,0
816,Rule_816,253,1
817,Rule_817,962,1
818,Rule_818,735,0
819,Rule_819,115,0
820,Rule_820,737,1
821,Rule_821,244,0
822,Rule_822,599,1
823,Rule_823,339,0
824,Rule_824,628,1
825,Rule_825,315,0
826,Rule_826,482,0
827,Rule_827,381,0
828,Rule_828,262,0
829,Rule_829,48,0
830,Rule_830,318,1
831,Rule_831,609,1
832,Rule_832,642,0
833,Rule_833,982,0
834,Rule_834,211,0
835,Rule_835,905,1
836,Rule_836,997,1
837,Rule_837,33,0
838,Rule_838,768,1
839,Rule_839,513,0
840,Rule_840,745,1
841,Rule_841,74,1
842,Rule_842,607,0
843,Rule_843,940,0
844,Rule_844,173,1
845,Rule_845,516,1
846,Rule_846,811,0
847,Rule_847,142,1
848,Rule_848,863,0
849,Rule_849,729,0
850,Rule_850,715,1
851,Rule_851,970,0
852,Rule_852,732,1
853,Rule_853,626,0
854,Rule_854,45,0
855,Rule_855,983,1
856,Rule_856,523,0
857,Rule_857,349,1
858,Rule_858,267,0
859,Rule_859,260,1
860,Rule_860,274,1
861,Rule_861,135,1
862,Rule_862,742,0
863,Rule_863,410,1
864,Rule_864,21,1
865,Rule_865,743,0
866,Rule_866,524,0
867,Rule_867,383,0
868,Rule_868,295,0
869,Rule_869,87,0
870,Rule_870,84,1
871,Rule_871,456,1
872,Rule_872,99,0
873,Rule_873,461,1
874,Rule_874,530,0
875,Rule_875,865,1
876,Rule_876,94,0
877,Rule_877,985,1
878,Rule_878,138,1
879,Rule_879,654,0
880,Rule_880,190,0
881,Rule_881,532,0
882,Rule_882,757,0
883,Rule_883,186,0
884,Rule_884,415,0
885,Rule_885,183,0
886,Rule_886,366,1
887,Rule_887,25,1
888,Rule_888,413,0
889,Rule_889,273,1
890,Rule_890,63,1
891,Rule_891,336,0
892,Rule_892,317,0
893,Rule_893,594,0
894,Rule_894,936,1
895,Rule_895,800,1
896,Rule_896,377,0
897,Rule_897,867,1
898,Rule_898,459,0
899,Rule_899,822,0
900,Rule_900,823,1
901,Rule_901,414,0
902,Rule_902,555,1
903,Rule_903,585,0
904,Rule_904,283,0
905,Rule_905,363,1
906,Rule_906,479,1
907,Rule_907,174,0
908,Rule_908,190,0
909,Rule_909,593,1
910,Rule_910,935,1
911,Rule_911,646,1
912,Rule_912,56,0
913,Rule_913,737,1
914,Rule_914,322,0
915,Rule_915,991,1
916,Rule_916,606,0
917,Rule_917,862,1
918,Rule_918,52,0
919,Rule_919,987,0
920,Rule_920,770,1
921,Rule_921,90,1
922,Rule_922,352,1
923,Rule_923,137,1
924,Rule_924,939,1
925,Rule_925,625,0
926,Rule_926,890,1
927,Rule_927,742,1
928,Rule_928,416,0
929,Rule_929,46,0
930,Rule_930,124,0
931,Rule_931,324,1
932,Rule_932,59,0
933,Rule_933,934,0
934,Rule_934,604,0
935,Rule_935,434,0
936,Rule_936,685,1
937,Rule_937,436,1
938,Rule_938,908,0
939,Rule_939,115,1
940,Rule_940,896,1
941,Rule_941,901,1
942,Rule_942,937,1
943,Rule_943,461,0
944,Rule_944,230,1
945,Rule_945,548,0
946,Rule_946,391,1
947,Rule_947,902,1
948,Rule_948,580,1
949,Rule_949,311,0
950,Rule_950,376,1
951,Rule_951,27,0
952,Rule_952,777,0
953,Rule_953,872,0
954,Rule_954,421,1
955,Rule_955,304,0
956,Rule_956,963,1
957,Rule_957,769,0
958,Rule_958,39,0
959,Rule_959,422,0
960,Rule_960,176,0
961,Rule_961,497,0
962,Rule_962,225,0
963,Rule_963,685,1
964,Rule_964,812,0
965,Rule_965,201,1
966,Rule_966,376,1
967,Rule_967,585,1
968,Rule_968,933,0
969,Rule_969,442,1
970,Rule_970,727,0
971,Rule_971,217,1
972,Rule_972,498,0
973,Rule_973,377,0
974,Rule_974,558,1
975,Rule_975,203,0
976,Rule_976,873,0
977,Rule_977,826,0
978,Rule_978,294,1
979,Rule_979,536,0
980,Rule_980,380,1
981,Rule_981,359,1
982,Rule_982,891,1
983,Rule_983,460,0
984,Rule_984,243,1
985,Rule_985,100,0
986,Rule_986,977,1
987,Rule_987,941,1
988,Rule_988,352,0
989,Rule_989,931,1
990,Rule_990,874,1
991,Rule_991,819,1
992,Rule_992,261,0
993,Rule_993,246,0
994,Rule_994,60,0
995,Rule_995,320,0
996,Rule_996,577,1
997,Rule_997,47,1
998,Rule_998,27,0
999,Rule_999,346,1
1000,Rule_1000,483,1
